,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
9672,1,Likely an Outlier,0.0707973388877795,1,Maybe Outlier,1.0982451156504554,1,Maybe Outlier,9.975795017708739,1,Likely an Outlier,1, an Outlier
9671,1,Likely an Outlier,0.12351818518030883,1,Likely an Outlier,0.986482165396404,1,Likely no Outlier,9.975837280422065,1,Likely an Outlier,1, an Outlier
9670,1,Likely an Outlier,0.08148604670375448,1,Maybe Outlier,1.037393879618896,1,Maybe Outlier,9.975861632403078,1,Likely an Outlier,1, an Outlier
9669,1,Likely an Outlier,0.08069081216837443,1,Maybe Outlier,0.98189940802006,1,Likely no Outlier,9.975887671901983,1,Likely an Outlier,1, an Outlier
9668,1,Likely an Outlier,0.09349026593367638,1,Maybe Outlier,1.1059899105788606,1,Maybe Outlier,9.975927093247138,1,Likely an Outlier,1, an Outlier
9667,1,Likely an Outlier,0.11106410349758045,1,Likely an Outlier,0.9832594515755113,1,Likely no Outlier,9.975955138725908,1,Likely an Outlier,1, an Outlier
9666,1,Likely an Outlier,0.10789686170102769,1,Likely an Outlier,1.002982188062603,1,Maybe Outlier,9.975983464626664,1,Likely an Outlier,1, an Outlier
9665,1,Likely an Outlier,-0.01444975892126632,-1,Maybe Outlier,0.9995797864256206,1,Likely no Outlier,9.976001832345212,1,Likely an Outlier,-1, no Outlier
9664,1,Likely an Outlier,0.08780560808415117,1,Maybe Outlier,1.0403798309415422,1,Maybe Outlier,9.976037442321207,1,Likely an Outlier,1, an Outlier
9663,1,Likely an Outlier,0.09728877121011537,1,Maybe Outlier,0.9869410084676155,1,Likely no Outlier,9.97606982924871,1,Likely an Outlier,1, an Outlier
9662,1,Likely an Outlier,0.1228829779641204,1,Likely an Outlier,1.0131943755104156,1,Maybe Outlier,9.97609946771249,1,Likely an Outlier,1, an Outlier
9661,1,Likely an Outlier,0.10217362535950547,1,Likely an Outlier,0.9918520958486698,1,Likely no Outlier,9.976124457356724,1,Likely an Outlier,1, an Outlier
9660,1,Likely an Outlier,0.13036648470723444,1,Likely an Outlier,0.9751035639537594,1,Likely no Outlier,9.97615570740787,1,Likely an Outlier,1, an Outlier
9659,1,Likely an Outlier,0.12781040182289521,1,Likely an Outlier,0.9874079396611422,1,Likely no Outlier,9.976183297222528,1,Likely an Outlier,1, an Outlier
9658,1,Likely an Outlier,0.12112672676211672,1,Likely an Outlier,1.0233263346905972,1,Maybe Outlier,9.97621034697945,1,Likely an Outlier,1, an Outlier
9657,1,Likely an Outlier,-0.011695894832093323,-1,Maybe Outlier,1.4477040523318725,-1,Likely an Outlier,9.976217389643034,1,Likely an Outlier,-1, no Outlier
9656,1,Likely an Outlier,-0.022515492586432928,-1,Maybe Outlier,1.5339115675170611,-1,Likely an Outlier,9.97624162691773,1,Likely an Outlier,-1, no Outlier
